"no","fileName","filePath","institution","institutionKind","type","reason","lastWriteTime","fileSize"
"24","학교법인+골롬반학원+및+목포가톨릭대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+골롬반학원+및+목포가톨릭대학교+회계부분감사+결과.pdf","목포가톨릭대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:45:58.139Z","140614"
"25","학교법인+광명학원+및+서울장신대학교+회계부분+감사+결과.pdf","C:\antigravity\audit_files\학교법인+광명학원+및+서울장신대학교+회계부분+감사+결과.pdf","서울장신대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:45:49.124Z","180978"
"26","학교법인+광운학원+및+광운대학교+종합감사+결과.pdf","C:\antigravity\audit_files\학교법인+광운학원+및+광운대학교+종합감사+결과.pdf","광운대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:38:00.854Z","931524"
"27","학교법인+구미교육재단+및+구미대학교+종합감사+결과+처분서.pdf","C:\antigravity\audit_files\학교법인+구미교육재단+및+구미대학교+종합감사+결과+처분서.pdf","구미대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:34:04.038Z","803196"
"28","학교법인+김포대학+및+김포대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+김포대학+및+김포대학교+회계부분감사+결과.pdf","김포대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:49:54.565Z","162749"
"29","학교법인+단국대학+및+단국대학교+종합감사+결과.pdf","C:\antigravity\audit_files\학교법인+단국대학+및+단국대학교+종합감사+결과.pdf","단국대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:38:37.164Z","1868164"
"30","학교법인+단호학원+및+용인대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+단호학원+및+용인대학교+회계부분감사+결과.pdf","용인대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:45:39.287Z","176711"
"31","학교법인+대구학원+및+가야대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+대구학원+및+가야대학교+회계부분감사+결과.pdf","가야대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:43:42.798Z","213045"
"32","학교법인+대양학원+및+세종대학교+종합감사+결과+공개(홈페이지).pdf","C:\antigravity\audit_files\학교법인+대양학원+및+세종대학교+종합감사+결과+공개(홈페이지).pdf","세종대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:40:17.686Z","1362044"
"33","학교법인+대원교육재단+및+세명대학교+종합감사+결과+처분서+전문+공개.pdf","C:\antigravity\audit_files\학교법인+대원교육재단+및+세명대학교+종합감사+결과+처분서+전문+공개.pdf","세명대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:37:42.453Z","1196523"
"34","학교법인+대원교육재단+및+세명대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+대원교육재단+및+세명대학교+회계부분감사+결과.pdf","세명대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:49:45.028Z","168841"
"35","학교법인+대진대학교+및+대진대학교+종합감사+결과.pdf","C:\antigravity\audit_files\학교법인+대진대학교+및+대진대학교+종합감사+결과.pdf","대진대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:37:24.957Z","1136574"
"36","학교법인+대한예수교장로회+총신대학교+및+총신대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+대한예수교장로회+총신대학교+및+총신대학교+회계부분감사+결과.pdf","총신대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:45:20.937Z","174627"
"37","학교법인+덕성학원+및+덕성여자대학교+회계부분+감사+결과.pdf","C:\antigravity\audit_files\학교법인+덕성학원+및+덕성여자대학교+회계부분+감사+결과.pdf","덕성여자대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:43:25.346Z","289768"
"38","학교법인+동국대학교+및+동국대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+동국대학교+및+동국대학교+회계부분감사+결과.pdf","동국대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:45:11.418Z","248514"
"39","학교법인+동서학원+및+동서대학교+종합감사+결과+공개(홈페이지).pdf","C:\antigravity\audit_files\학교법인+동서학원+및+동서대학교+종합감사+결과+공개(홈페이지).pdf","동서대학교","학교법인","종합감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-10T06:42:22.608Z","1818480"
"40","학교법인+동신교육재단+및+여주대학교+회계부분감사+결과.pdf","C:\antigravity\audit_files\학교법인+동신교육재단+및+여주대학교+회계부분감사+결과.pdf","여주대학교","학교법인","회계부분감사","OCR 실패: Upstage 오류(401): {""error"":{""message"":""API key suspended due to insufficient credit. Register your payment method at https://console.upstage.ai/billing to continue."",""type"":""invalid_request_error"",""param"":"""",""code"":""api_key_is_not_allowed""}}","2026-04-23T04:45:00.795Z","229099"
