,,,,
대학 감사 지적 사례 검색 서비스,,,,
,,,,
검색구분,"검색구분(학교명, 제목, 지적내용)",,,
,,,,
검색기간,,,,
,,,,
,,,,
연도,학교명,구분,제    목,지적내용
2017,충남대학교,종합감사,계약학과 교재개발비 지급 부적정,"2014학년도 2학기부터 2016학년도 2학기까지 교수 21명이 본인의 기존저서 내용을 그대로 인용하거나, 교재개발비를 지급받아 개발한 기존 교재를 그대로 발간·제출하고 교재개발비 합계 34,000천원 수령"
2017,충남대학교,종합감사,경영연구 캡스톤프로젝트 교과목 未운영,"교직원 39명으로부터 Working Paper를 제출받고 연구비 명목으로 합계 39,000천원을 발전기금에서 지급하였음에도 2017.4. 감사일 현재까지 경영연구 캡스톤프로젝트 교과목 未운영"
2017,충남대학교,종합감사,위원회 회의수당 지급 부적정,"2014. 3.부터 2016. 12.까지 교수 ㅇㅇㅇ 등 연인원 163명에게 학교 소속부서 등에서 주관하는 위원회에 참석했다는 이유로 회의수당 합계 19,900천원을 대학회계 등에서 지급"
2017,충남대학교,종합감사,여비 지급 부적정,"2014년부터 2016년까지 교직원 39명(누적인원)에게 같은 출장에 따른 여비를 두번 지급하거나 같은 날 출장지가 동일한 여러 건의 출장에 대한 여비를 각각 지급하여 여비 1,568,270원 과다 지급"
2017,충남대학교,종합감사,공동실험실습관 기기사용 수수료 未징수,"2016. 3.부터 2017. 3.까지 공동실험실습관 기기이용자 138명이 사용한 공동실험실습관 기기사용 수수료 합계 47,849,200원 未징수"
2017,충남대학교,종합감사,대학명의 계좌 관리 부적정,"본부 및 8개 소속기관에서 장기간 거래실적이 없는 29개 계좌 합계 197,732원을 휴면계좌로 방치하고, 임의단체 명의로 개설되어야 할 8개 계좌 24,872,773원을 대학명의로 개설·관리"
2017,충남대학교,종합감사,수입대체경비 보상금 지급 부적정,"2015. 2. 25.부터 2017. 2. 24.까지 평생교육원 및 경영대학원에서 보상금 지급 한도를 초과하거나 지급 요건이 충족되지 아니함에도 교직원 37명(누적인원)에게 수입대체경비 보상금 51,388,680원 지급"
2017,충남대학교,종합감사,총장실 운영비 집행 등 부적정,"업무추진비 성격의 간담회 경비 등 합계 144,315천원을 사용 목적이나 용도 등에 관한 사전 결재 없이 임의 집행하고 정산서는 매 회계연도 종료시점에 집행잔액 반납하지 않고 비서실에서 별도 보관·관리"
2017,충남대학교,종합감사,과학영재교육원 입시운영수당 지급 부적정,"2015. 1. 2.부터 2016. 1. 14.까지 근무시간 내 자기가 담당하는 업무를 진행한 과학영재교육원 소속 교원 2명에게 입시운영수당 3,800천원 지급"
2017,충남대학교,종합감사,최고농업경영자과정 담당자 학사관리 지원비 지급 부적정,"2015. 2. 12.부터 2016. 2. 12.까지 본연 업무를 수행한 농업생명과학대학 담당자 6명에게 최고농업경영자과정 학사관리지원비 3,000천원 지급"
